ZipCode,Discharges2012-2014,DischargeRates,
10451,"1,125",77.1,
10452,"1,312",56.1,
10453,"1,222",50.5,
10454,"1,075",94.8,
10455,"1,052",84.5,
10456,"1,999",74.3,
10457,"1,644",75.8,
10458,"1,442",59.3,
10459,"1,041",69.4,
10460,"1,088",62.5,
10461,493,32.9,
10462,966,40.4,
10463,582,27.6,
10464,49,36.9,
10465,370,29.2,
10466,"1,084",52.6,
10467,"1,935",65.2,
10468,975,42.7,
10469,773,38.6,
10470,149,33.1,
10471,91,12.7,
10472,"1,119",55.7,
10473,997,55.1,
10474,255,36.6,
10475,369,26.2,
11004,50,12.6,
11005,13,15.1,
11101,228,26.7,
11102,257,24,
11103,100,8.9,
11104,108,12.8,
11105,155,14.2,
11106,248,20.6,
11354,218,12.5,
11355,252,9.7,
11356,92,12.4,
11357,91,7.5,
11358,97,8.4,
11360,63,11,
11361,92,10.4,
11362,36,6.4,
11363,20,9.2,
11364,86,8,
11365,133,10.3,
11366,36,8.4,
11367,210,16.6,
11368,623,18,
11369,191,16.5,
11370,147,16.3,
11372,262,12.8,
11373,363,11.5,
11374,167,12.4,
11375,221,10.5,
11377,361,13.2,
11378,125,11.8,
11379,154,14.1,
11385,601,19.9,
11411,109,19.9,
11412,275,26,
11413,259,21.9,
11414,127,15.9,
11415,93,15.6,
11416,180,23.5,
11417,169,19,
11418,217,19.6,
11419,250,17.7,
11420,264,19,
11421,214,17.6,
11422,194,20.2,
11423,167,18.8,
11426,65,11.3,
11427,148,21.3,
11428,103,17.7,
11429,168,22.1,
11432,345,18,
11433,324,31.3,
11434,511,28,
11435,320,19.5,
11436,153,27.5,
11691,558,29.8,
11692,158,26.2,
11693,94,24.8,
11694,91,14.3,
11697,13,10.5,
10301,367,30.2,
10302,168,28.8,
10303,281,34.8,
10304,399,31.3,
10305,216,17.2,
10306,259,15.5,
10307,44,10.2,
10308,75,9,
10309,95,9.2,
10310,212,28.3,
10312,206,11.7,
10314,317,12.3,
11201,275,16.7,
11203,825,34.9,
11204,177,7.2,
11205,374,28.4,
11206,942,35.5,
11207,"1,441",48.8,
11208,"1,209",40.7,
11209,244,11.6,
11210,417,21.1,
11211,431,15,
11212,"1,567",59.5,
11213,852,43.7,
11214,241,8.8,
11215,280,14,
11216,658,39.2,
11217,270,25,
11218,272,11.7,
11219,195,6.9,
11220,611,19.7,
11221,"1,571",62.5,
11222,69,6,
11223,376,15.5,
11224,555,37.8,
11225,548,30.7,
11226,"1,112",35.9,
11228,106,8.3,
11229,317,13.1,
11230,293,11.7,
11231,234,22.4,
11232,169,18.9,
11233,"1,046",49.6,
11234,508,18.9,
11235,354,14.1,
11236,810,28,
11237,657,41.9,
11238,473,30.3,
11239,226,54.6,
10001,159,21.9,
10002,592,23.9,
10003,130,7.7,
10007,14,2.9,
10009,534,28.3,
10010,43,4.4,
10011,127,8.1,
10012,31,4.4,
10013,42,4.8,
10014,32,3.3,
10016,173,10.2,
10017,30,6,
10018,23,12.2,
10019,105,8.1,
10021,88,6.5,
10022,40,3.9,
10023,141,6.6,
10024,166,9.3,
10025,578,20.2,
10026,407,38.6,
10027,648,35.4,
10028,72,5.1,
10029,"1,409",60.5,
10030,530,66.1,
10031,471,27.2,
10032,430,24.1,
10033,336,20.7,
10034,316,26.5,
10035,673,62.2,
10036,109,13.4,
10037,337,59.5,
10038,113,16.2,
10039,449,56.8,
10040,233,18.8,
10044,53,13.1,
10065,37,4.1,
10075,36,4.1,
10128,153,8.4,
10280,13,7.2,
