CD,      Median household income (dollars)
208,58202
212,45728
210,54908
211,46305
203,22632
206,22632
207,32179
205,24165
204,26189
209,36394
201,22001
202,22001
112,41687
109,43518
110,38621
111,30973
108,107733
107,101986
104,97121
105,97121
106,104495
103,42102
101,120408
102,120408
503,84836
502,74476
501,58985
301,56272
304,40533
303,36859
302,77220
306,101750
308,42796
316,27512
305,34746
318,65382
317,46725
309,41984
307,45509
310,59466
312,40934
314,45316
315,51853
311,50092
313,32144
401,53270
403,50095
407,52359
411,78844
413,77227
408,60287
404,45569
406,65504
402,56870
405,59175
409,60674
412,53830
410,62375
414,49091
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
