Created Date,Complaint Type,Descriptor,Incident Zip,X Coordinate (State Plane),Y Coordinate (State Plane),Latitude,Longitude
01/01/2016 12:39:45 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11419,1034177,189778,40.68743272513059,-73.81997447956374
01/01/2016 01:40:42 AM,Building/Use,Illegal. Commercial Use In Resident Zone,11222,996470,208062,40.737750323290356,-73.95590418542173
01/01/2016 02:27:53 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11203,999110,176441,40.65095398756497,-73.94644751706694
01/01/2016 05:49:28 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11223,992312,154022,40.589427305004506,-73.97097292630674
01/01/2016 09:08:11 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11422,1058652,183393,40.669735526175856,-73.73179409270537
01/01/2016 10:28:30 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11354,1035319,217757,40.76422158882514,-73.81564437413068
01/01/2016 12:52:25 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11234,1002935,168596,40.629413904164686,-73.93268470895816
01/01/2016 12:54:31 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11234,1002935,168619,40.62947703429532,-73.9326846452827
01/01/2016 01:07:05 PM,Building/Use,Illegal. Commercial Use In Resident Zone,11234,1002935,168596,40.629413904164686,-73.93268470895816
01/01/2016 05:01:59 PM,Building/Use,Illegal Conversion Of Residential Building/Space,10472,1020116,241137,40.828468016792584,-73.87040120714477
01/01/2016 08:51:20 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11211,997518,198349,40.71108898799381,-73.95214163193849
01/01/2016 10:12:39 PM,Building/Use,Illegal. Commercial Use In Resident Zone,11209,979167,169229,40.63116960302152,-74.01831268904014
01/01/2016 11:02:31 PM,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,11220,979852,173201,40.642072263258875,-74.01584740623332
01/02/2016 12:29:07 AM,Building/Use,Illegal. Commercial Use In Resident Zone,11226,997487,174015,40.64429771817631,-73.9523012455423
01/02/2016 12:39:41 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11355,1034318,211931,40.74823646295835,-73.81930129027316
01/02/2016 01:03:40 AM,Building/Use,SRO - Illegal Work/No Permit/Change In Occupancy/Use,11692,1038755,154032,40.58929083899999,-73.80375605147648
01/02/2016 01:43:19 AM,Building/Use,Illegal. Commercial Use In Resident Zone,10457,1010305,246713,40.84380690560067,-73.9058307430196
01/02/2016 09:30:24 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11385,1021450,197521,40.708748072499105,-73.86582232603892
01/02/2016 10:12:09 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11357,1035018,222796,40.77805403279802,-73.81669289501897
01/02/2016 10:38:17 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11207,1008065,189516,40.686822373114296,-73.9141293048892
01/02/2016 10:46:11 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11207,1008259,189351,40.68636896200848,-73.91343037977468
01/02/2016 11:05:21 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11355,1030758,214422,40.755093055211596,-73.83213230370299
01/02/2016 11:08:20 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11209,976152,170733,40.63529552077808,-74.0291767315088
01/02/2016 11:44:48 AM,Building/Use,Illegal Conversion Of Residential Building/Space,10453,1007118,250120,40.85316693936978,-73.91733772715712
01/02/2016 12:09:24 PM,Building/Use,Illegal Conversion Of Residential Building/Space,10455,1009125,237343,40.81809236083439,-73.91013029779178
01/02/2016 01:02:19 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11226,994457,177362,40.653488517173436,-73.9632146069062
01/02/2016 01:06:22 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11228,981313,163619,40.61577229804576,-74.0105787844611
01/02/2016 01:12:54 PM,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,11218,991764,171429,40.63720640715453,-73.97292661917737
01/02/2016 01:32:59 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11220,980317,168766,40.62989935107118,-74.0141692769886
01/02/2016 01:38:46 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11416,1028693,189853,40.687667818418575,-73.83974800721008
01/02/2016 01:48:54 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11237,1009890,192409,40.69475788833025,-73.90753782359421
01/02/2016 02:25:25 PM,Building/Use,Illegal Conversion Of Residential Building/Space,10306,946213,145094,40.56484378379968,-74.13690113194669
