C_O_ISSUE_DATE,BOROUGH,POSTCODE,ISSUE_TYPE
12/09/2016,Manhattan,10002,Temporary
02/08/2016,Manhattan,10022,Temporary
04/29/2016,Manhattan,10022,Temporary
08/16/2016,Manhattan,10022,Temporary
11/03/2016,Manhattan,10019,Temporary
11/30/2016,Manhattan,10012,Temporary
01/04/2016,Manhattan,10012,Temporary
04/04/2016,Manhattan,10012,Temporary
06/10/2016,Manhattan,10012,Temporary
08/19/2016,Manhattan,10012,Temporary
02/25/2016,Manhattan,10013,Temporary
05/18/2016,Manhattan,10013,Temporary
08/09/2016,Manhattan,10013,Temporary
05/31/2016,Manhattan,10002,Temporary
11/21/2016,Manhattan,10010,Temporary
01/15/2016,Manhattan,10010,Temporary
04/22/2016,Manhattan,10010,Temporary
05/27/2016,Manhattan,10010,Temporary
08/24/2016,Manhattan,10010,Temporary
03/28/2016,Manhattan,10011,Temporary
10/13/2016,Manhattan,10037,Temporary
11/15/2016,Manhattan,10002,Temporary
03/08/2016,Manhattan,10002,Temporary
08/22/2016,Manhattan,10002,Temporary
02/22/2016,Manhattan,10033,Temporary
12/01/2016,Manhattan,10012,Temporary
06/20/2016,Manhattan,10012,Temporary
09/06/2016,Manhattan,10012,Temporary
12/15/2016,Manhattan,10128,Temporary
02/25/2016,Manhattan,10128,Temporary
06/23/2016,Manhattan,10128,Temporary
09/23/2016,Manhattan,10128,Temporary
11/21/2016,Manhattan,10031,Temporary
02/25/2016,Manhattan,10031,Temporary
05/24/2016,Manhattan,10031,Temporary
08/18/2016,Manhattan,10031,Temporary
10/20/2016,Manhattan,10012,Temporary
02/23/2016,Manhattan,10012,Temporary
05/17/2016,Manhattan,10012,Temporary
08/04/2016,Manhattan,10012,Temporary
08/29/2016,Manhattan,10017,Temporary
01/14/2016,Manhattan,10012,Temporary
12/15/2016,Manhattan,10012,Temporary
04/08/2016,Manhattan,10012,Temporary
07/01/2016,Manhattan,10012,Temporary
09/23/2016,Manhattan,10012,Temporary
02/08/2016,Manhattan,10016,Temporary
06/29/2016,Manhattan,10016,Temporary
03/24/2016,Manhattan,10029,Temporary
05/25/2016,Manhattan,10029,Temporary
06/27/2016,Manhattan,10013,Final
12/15/2016,Manhattan,10013,Temporary
03/21/2016,Manhattan,10013,Temporary
07/01/2016,Manhattan,10013,Temporary
09/27/2016,Manhattan,10013,Temporary
12/01/2016,Manhattan,10014,Temporary
10/25/2016,Manhattan,10012,Temporary
08/11/2016,Manhattan,10012,Temporary
10/11/2016,Manhattan,10029,Temporary
01/27/2016,Manhattan,10029,Temporary
04/25/2016,Manhattan,10029,Temporary
07/20/2016,Manhattan,10029,Temporary
01/15/2016,Manhattan,10011,Temporary
12/22/2016,Manhattan,10011,Temporary
10/31/2016,Manhattan,10016,Temporary
02/10/2016,Manhattan,10016,Temporary
08/04/2016,Manhattan,10016,Temporary
12/12/2016,Manhattan,10012,Temporary
11/28/2016,Manhattan,10003,Temporary
03/15/2016,Manhattan,10003,Temporary
06/06/2016,Manhattan,10003,Temporary
09/01/2016,Manhattan,10003,Temporary
10/24/2016,Manhattan,10003,Temporary
